id,sleep_target,sleep_value,steps,calories_target,calories_value,createdAt,updatedAt,intensity,min_heart_rate,max_heart_rate,user/id,user/email,user/full_name,user/disable_survey
170,480,,,2048.0,1169.0,2023-06-18 00:00:01.692000+00:00,2023-06-18 23:45:01.549000+00:00,,,,,,,
171,480,,,2048.0,1169.0,2023-06-18 00:00:02.170000+00:00,2023-06-18 23:45:02.118000+00:00,,,,,,,
172,480,,,2048.0,1169.0,2023-06-19 00:00:00.485000+00:00,2023-06-19 23:45:00.537000+00:00,,,,,,,
173,480,,,2048.0,1169.0,2023-06-19 00:00:01.131000+00:00,2023-06-19 23:45:01.200000+00:00,,,,,,,
174,480,,,2048.0,1169.0,2023-06-19 00:00:01.580000+00:00,2023-06-19 23:45:01.671000+00:00,,,,,,,
175,480,,,2048.0,1169.0,2023-06-19 00:00:02.025000+00:00,2023-06-19 23:45:02.135000+00:00,,,,,,,
176,480,472,1376.0,2048.0,1298.0,2023-06-20 00:00:00.619000+00:00,2023-06-20 23:45:00.577000+00:00,,,,,,,
177,480,472,1376.0,2048.0,1298.0,2023-06-20 00:00:01.466000+00:00,2023-06-20 23:45:01.386000+00:00,,,,,,,
178,480,472,1376.0,2048.0,1298.0,2023-06-20 00:00:02.194000+00:00,2023-06-20 23:45:01.993000+00:00,,,,,,,
179,480,472,1376.0,2048.0,1298.0,2023-06-20 00:00:02.741000+00:00,2023-06-20 23:45:02.663000+00:00,,,,,,,
180,480,,,2048.0,1169.0,2023-06-21 00:00:00.499000+00:00,2023-06-21 23:45:00.512000+00:00,,,,,,,
181,480,,,2048.0,1169.0,2023-06-21 00:00:02.232000+00:00,2023-06-21 23:45:01.227000+00:00,,,,,,,
182,480,,,2048.0,1169.0,2023-06-21 00:00:02.795000+00:00,2023-06-21 23:45:01.696000+00:00,,,,,,,
183,480,,,2048.0,1169.0,2023-06-21 00:00:03.352000+00:00,2023-06-21 23:45:02.142000+00:00,,,,,,,
184,480,,,2048.0,1169.0,2023-06-22 00:00:00.469000+00:00,2023-06-22 23:45:00.489000+00:00,,,,,,,
185,480,,,2048.0,1169.0,2023-06-22 00:00:01.203000+00:00,2023-06-22 23:45:01.163000+00:00,,,,,,,
186,480,,,2048.0,1169.0,2023-06-22 00:00:01.673000+00:00,2023-06-22 23:45:01.621000+00:00,,,,,,,
187,480,,,2048.0,1169.0,2023-06-22 00:00:02.171000+00:00,2023-06-22 23:45:02.060000+00:00,,,,,,,
188,480,471,7257.0,2048.0,1716.0,2023-06-23 00:00:00.493000+00:00,2023-06-23 23:45:00.849000+00:00,24.0,,,,,,
189,480,471,7257.0,2048.0,1716.0,2023-06-23 00:00:01.195000+00:00,2023-06-23 23:45:02.009000+00:00,24.0,,,,,,
190,480,471,7257.0,2048.0,1716.0,2023-06-23 00:00:01.671000+00:00,2023-06-23 23:45:02.821000+00:00,24.0,,,,,,
191,480,471,7257.0,2048.0,1716.0,2023-06-23 00:00:02.118000+00:00,2023-06-23 23:45:03.628000+00:00,24.0,,,,,,
192,480,,,2048.0,1169.0,2023-06-24 00:15:00.547000+00:00,2023-06-24 23:45:00.478000+00:00,,,,,,,
193,480,,,2048.0,1169.0,2023-06-24 00:15:01.275000+00:00,2023-06-24 23:45:01.328000+00:00,,,,,,,
194,480,,,2048.0,1169.0,2023-06-24 00:15:01.804000+00:00,2023-06-24 23:45:01.824000+00:00,,,,,,,
195,480,,,2048.0,1169.0,2023-06-24 00:15:02.285000+00:00,2023-06-24 23:45:02.282000+00:00,,,,,,,
196,480,559,7979.0,2048.0,2187.0,2023-06-25 00:15:00.499000+00:00,2023-06-25 23:45:00.742000+00:00,125.0,,,,,,
197,480,559,7979.0,2048.0,2187.0,2023-06-25 00:15:01.216000+00:00,2023-06-25 23:45:01.817000+00:00,125.0,,,,,,
198,480,559,7979.0,2048.0,2187.0,2023-06-25 00:15:01.691000+00:00,2023-06-25 23:45:02.602000+00:00,125.0,,,,,,
199,480,559,7979.0,2048.0,2187.0,2023-06-25 00:15:02.145000+00:00,2023-06-25 23:45:03.315000+00:00,125.0,,,,,,
200,480,,,2048.0,1169.0,2023-06-26 00:00:00.448000+00:00,2023-06-26 23:45:00.507000+00:00,,,,,,,
201,480,,,2048.0,1169.0,2023-06-26 00:00:01.240000+00:00,2023-06-26 23:45:01.381000+00:00,,,,,,,
202,480,,,2048.0,1169.0,2023-06-26 00:00:01.849000+00:00,2023-06-26 23:45:01.926000+00:00,,,,,,,
203,480,,,2048.0,1169.0,2023-06-26 00:00:02.355000+00:00,2023-06-26 23:45:02.419000+00:00,,,,,,,
204,480,465,7443.0,2048.0,1676.0,2023-06-27 00:15:00.501000+00:00,2023-06-27 23:45:00.783000+00:00,22.0,,,,,,
205,480,465,7443.0,2048.0,1676.0,2023-06-27 00:15:01.269000+00:00,2023-06-27 23:45:01.949000+00:00,22.0,,,,,,
206,480,465,7443.0,2048.0,1676.0,2023-06-27 00:15:01.700000+00:00,2023-06-27 23:45:02.682000+00:00,22.0,,,,,,
207,480,465,7443.0,2048.0,1676.0,2023-06-27 00:15:02.196000+00:00,2023-06-27 23:45:03.417000+00:00,22.0,,,,,,
208,480,,,2048.0,1169.0,2023-06-28 00:15:00.603000+00:00,2023-06-28 23:45:00.539000+00:00,,,,,,,
209,480,,,2048.0,1169.0,2023-06-28 00:15:01.355000+00:00,2023-06-28 23:45:01.247000+00:00,,,,,,,
210,480,,,2048.0,1169.0,2023-06-28 00:15:01.814000+00:00,2023-06-28 23:45:02.101000+00:00,,,,,,,
211,480,,,2048.0,1169.0,2023-06-28 00:15:02.332000+00:00,2023-06-28 23:45:02.659000+00:00,,,,,,,
212,480,434,5202.0,2048.0,1594.0,2023-06-29 00:15:00.516000+00:00,2023-06-29 23:45:00.595000+00:00,10.0,,,,,,
213,480,434,5202.0,2048.0,1594.0,2023-06-29 00:15:01.312000+00:00,2023-06-29 23:45:01.446000+00:00,10.0,,,,,,
214,480,434,5202.0,2048.0,1594.0,2023-06-29 00:15:01.802000+00:00,2023-06-29 23:45:02.045000+00:00,10.0,,,,,,
215,480,434,5202.0,2048.0,1594.0,2023-06-29 00:15:02.236000+00:00,2023-06-29 23:45:02.645000+00:00,10.0,,,,,,
216,480,426,7697.0,2048.0,1863.0,2023-06-30 00:15:00.577000+00:00,2023-06-30 23:45:00.650000+00:00,,,,,,,
217,480,426,7697.0,2048.0,1863.0,2023-06-30 00:15:01.291000+00:00,2023-06-30 23:45:01.556000+00:00,,,,,,,
218,480,426,7697.0,2048.0,1863.0,2023-06-30 00:15:01.865000+00:00,2023-06-30 23:45:02.269000+00:00,,,,,,,
219,480,426,7697.0,2048.0,1863.0,2023-06-30 00:15:02.321000+00:00,2023-06-30 23:45:03.001000+00:00,,,,,,,
220,480,,,,,2023-06-30 09:00:00.599000+00:00,2023-06-30 09:00:00.599000+00:00,,,,,,,
221,480,490,8834.0,2048.0,2018.0,2023-07-01 00:15:00.544000+00:00,2023-07-01 23:45:00.715000+00:00,31.0,,,,,,
222,480,490,8834.0,2048.0,2018.0,2023-07-01 00:15:01.288000+00:00,2023-07-01 23:45:01.720000+00:00,31.0,,,,,,
223,480,490,8834.0,2048.0,2018.0,2023-07-01 00:15:01.765000+00:00,2023-07-01 23:45:02.453000+00:00,31.0,,,,,,
224,480,490,8834.0,2048.0,2018.0,2023-07-01 00:15:02.259000+00:00,2023-07-01 23:45:03.243000+00:00,31.0,,,,,,
225,480,472,10705.0,2048.0,1761.0,2023-07-02 00:15:00.529000+00:00,2023-07-02 23:45:00.732000+00:00,69.0,,,,,,
226,480,472,10705.0,2048.0,1761.0,2023-07-02 00:15:01.330000+00:00,2023-07-02 23:45:01.635000+00:00,69.0,,,,,,
227,480,472,10705.0,2048.0,1761.0,2023-07-02 00:15:01.970000+00:00,2023-07-02 23:45:02.335000+00:00,69.0,,,,,,
228,480,472,10705.0,2048.0,1761.0,2023-07-02 00:15:02.430000+00:00,2023-07-02 23:45:03.019000+00:00,69.0,,,,,,
229,480,,,,,2023-07-02 12:33:07.534000+00:00,2023-07-02 12:33:07.534000+00:00,,,,,,,
230,480,440,10406.0,2048.0,2079.0,2023-07-03 00:15:00.447000+00:00,2023-07-03 23:45:00.848000+00:00,96.0,,,,,,
231,480,440,10406.0,2048.0,2079.0,2023-07-03 00:15:01.138000+00:00,2023-07-03 23:45:01.847000+00:00,96.0,,,,,,
232,480,440,10406.0,2048.0,2079.0,2023-07-03 00:15:01.655000+00:00,2023-07-03 23:45:02.782000+00:00,96.0,,,,,,
233,480,440,10406.0,2048.0,2079.0,2023-07-03 00:15:02.098000+00:00,2023-07-03 23:45:03.646000+00:00,96.0,,,,,,
234,480,418,4124.0,2048.0,1634.0,2023-07-04 00:00:00.486000+00:00,2023-07-04 23:45:00.706000+00:00,,,,,,,
235,480,418,4124.0,2048.0,1634.0,2023-07-04 00:00:01.185000+00:00,2023-07-04 23:45:01.537000+00:00,,,,,,,
236,480,418,4124.0,2048.0,1634.0,2023-07-04 00:00:01.686000+00:00,2023-07-04 23:45:02.215000+00:00,,,,,,,
237,480,418,4124.0,2048.0,1634.0,2023-07-04 00:00:02.218000+00:00,2023-07-04 23:45:02.917000+00:00,,,,,,,
238,480,,,2048.0,1169.0,2023-07-05 00:15:00.522000+00:00,2023-07-05 23:45:00.538000+00:00,,,,,,,
239,480,,,2048.0,1169.0,2023-07-05 00:15:01.249000+00:00,2023-07-05 23:45:01.335000+00:00,,,,,,,
240,480,,,2048.0,1169.0,2023-07-05 00:15:01.768000+00:00,2023-07-05 23:45:01.813000+00:00,,,,,,,
241,480,,,2048.0,1169.0,2023-07-05 00:15:02.297000+00:00,2023-07-05 23:45:02.495000+00:00,,,,,,,
242,480,404,8359.0,2048.0,1904.0,2023-07-06 00:15:00.477000+00:00,2023-07-06 23:45:00.673000+00:00,,,,,,,
243,480,404,8359.0,2048.0,1904.0,2023-07-06 00:15:01.224000+00:00,2023-07-06 23:45:01.565000+00:00,,,,,,,
244,480,404,8359.0,2048.0,1904.0,2023-07-06 00:15:01.652000+00:00,2023-07-06 23:45:02.958000+00:00,,,,,,,
245,480,404,8359.0,2048.0,1904.0,2023-07-06 00:15:02.157000+00:00,2023-07-06 23:45:03.601000+00:00,,,,,,,
246,480,,,2048.0,1170.0,2023-07-07 00:15:00.679000+00:00,2023-07-07 23:45:00.503000+00:00,,,,,,,
247,480,,,2048.0,1170.0,2023-07-07 00:15:01.675000+00:00,2023-07-07 23:45:01.212000+00:00,,,,,,,
248,480,,,2048.0,1170.0,2023-07-07 00:15:02.188000+00:00,2023-07-07 23:45:01.730000+00:00,,,,,,,
249,480,,,2048.0,1170.0,2023-07-07 00:15:02.665000+00:00,2023-07-07 23:45:02.191000+00:00,,,,,,,
250,480,,,2048.0,1169.0,2023-07-08 00:15:00.480000+00:00,2023-07-08 23:45:00.468000+00:00,,,,,,,
251,480,,,2048.0,1169.0,2023-07-08 00:15:01.218000+00:00,2023-07-08 23:45:01.141000+00:00,,,,,,,
252,480,,,2048.0,1169.0,2023-07-08 00:15:01.731000+00:00,2023-07-08 23:45:01.684000+00:00,,,,,,,
253,480,,,2048.0,1169.0,2023-07-08 00:15:02.260000+00:00,2023-07-08 23:45:02.150000+00:00,,,,,,,
254,480,464,6506.0,2048.0,1954.0,2023-07-09 00:15:00.521000+00:00,2023-07-09 23:45:00.986000+00:00,15.0,,,,,,
255,480,464,6506.0,2048.0,1954.0,2023-07-09 00:15:01.193000+00:00,2023-07-09 23:45:02.015000+00:00,15.0,,,,,,
256,480,464,6506.0,2048.0,1954.0,2023-07-09 00:15:01.660000+00:00,2023-07-09 23:45:02.899000+00:00,15.0,,,,,,
257,480,464,6506.0,2048.0,1954.0,2023-07-09 00:15:02.185000+00:00,2023-07-09 23:45:03.742000+00:00,15.0,,,,,,
258,480,,,2048.0,1172.0,2023-07-10 00:15:00.521000+00:00,2023-07-10 23:55:00.513000+00:00,,,,,,,
259,480,,,2048.0,1172.0,2023-07-10 00:15:01.230000+00:00,2023-07-10 23:55:01.220000+00:00,,,,,,,
260,480,,,2048.0,1172.0,2023-07-10 00:15:01.830000+00:00,2023-07-10 23:55:01.674000+00:00,,,,,,,
261,480,,,2048.0,1172.0,2023-07-10 00:15:02.445000+00:00,2023-07-10 23:55:02.197000+00:00,,,,,,,
262,480,479,6226.0,2048.0,1738.0,2023-07-11 00:15:00.481000+00:00,2023-07-11 23:55:00.755000+00:00,18.0,,,,,,
263,480,479,6226.0,2048.0,1738.0,2023-07-11 00:15:01.318000+00:00,2023-07-11 23:55:01.838000+00:00,18.0,,,,,,
264,480,479,6226.0,2048.0,1738.0,2023-07-11 00:15:01.798000+00:00,2023-07-11 23:55:03.074000+00:00,18.0,,,,,,
265,480,479,6226.0,2048.0,1738.0,2023-07-11 00:15:02.258000+00:00,2023-07-11 23:55:03.826000+00:00,18.0,,,,,,
266,480,,,,,2023-07-11 03:32:07.842000+00:00,2023-07-11 03:32:07.842000+00:00,,,,,,,
267,480,412,7023.0,2048.0,1804.0,2023-07-12 00:15:00.637000+00:00,2023-07-12 23:55:00.701000+00:00,11.0,,,,,,
268,480,412,7023.0,2048.0,1804.0,2023-07-12 00:15:01.491000+00:00,2023-07-12 23:55:01.647000+00:00,11.0,,,,,,
269,480,412,7023.0,2048.0,1804.0,2023-07-12 00:15:02.061000+00:00,2023-07-12 23:55:02.439000+00:00,11.0,,,,,,
270,480,412,7023.0,2048.0,1804.0,2023-07-12 00:15:02.563000+00:00,2023-07-12 23:55:03.094000+00:00,11.0,,,,,,
271,480,454,9805.0,2048.0,1880.0,2023-07-13 00:15:00.976000+00:00,2023-07-13 23:55:00.818000+00:00,84.0,,,,,,
272,480,454,9805.0,2048.0,1880.0,2023-07-13 00:15:01.687000+00:00,2023-07-13 23:55:01.925000+00:00,84.0,,,,,,
273,480,454,9805.0,2048.0,1880.0,2023-07-13 00:15:02.223000+00:00,2023-07-13 23:55:02.746000+00:00,84.0,,,,,,
274,480,454,9805.0,2048.0,1880.0,2023-07-13 00:15:02.655000+00:00,2023-07-13 23:55:03.523000+00:00,84.0,,,,,,
275,480,,,2048.0,1172.0,2023-07-14 00:15:00.579000+00:00,2023-07-14 23:55:00.454000+00:00,,,,,,,
276,480,,,2048.0,1172.0,2023-07-14 00:15:01.332000+00:00,2023-07-14 23:55:01.123000+00:00,,,,,,,
277,480,,,2048.0,1172.0,2023-07-14 00:15:01.818000+00:00,2023-07-14 23:55:01.628000+00:00,,,,,,,
278,480,,,2048.0,1172.0,2023-07-14 00:15:02.315000+00:00,2023-07-14 23:55:02.113000+00:00,,,,,,,
279,480,,,2048.0,1172.0,2023-07-15 00:15:00.484000+00:00,2023-07-15 23:55:00.468000+00:00,,,,,,,
280,480,,,2048.0,1172.0,2023-07-15 00:15:01.208000+00:00,2023-07-15 23:55:01.122000+00:00,,,,,,,
281,480,,,2048.0,1172.0,2023-07-15 00:15:01.684000+00:00,2023-07-15 23:55:01.648000+00:00,,,,,,,
282,480,,,2048.0,1172.0,2023-07-15 00:15:02.269000+00:00,2023-07-15 23:55:02.073000+00:00,,,,,,,
283,480,473,2786.0,2048.0,1531.0,2023-07-16 00:15:00.443000+00:00,2023-07-16 23:55:00.713000+00:00,34.0,,,,,,
284,480,473,2786.0,2048.0,1531.0,2023-07-16 00:15:01.108000+00:00,2023-07-16 23:55:01.587000+00:00,34.0,,,,,,
285,480,473,2786.0,2048.0,1531.0,2023-07-16 00:15:01.569000+00:00,2023-07-16 23:55:02.203000+00:00,34.0,,,,,,
286,480,473,2786.0,2048.0,1531.0,2023-07-16 00:15:02.020000+00:00,2023-07-16 23:55:02.819000+00:00,34.0,,,,,,
287,480,,339.0,2048.0,1198.0,2023-07-17 00:15:00.480000+00:00,2023-07-17 23:55:00.656000+00:00,,,,,,,
288,480,,339.0,2048.0,1198.0,2023-07-17 00:15:01.163000+00:00,2023-07-17 23:55:01.404000+00:00,,,,,,,
289,480,,339.0,2048.0,1198.0,2023-07-17 00:15:01.647000+00:00,2023-07-17 23:55:02.052000+00:00,,,,,,,
290,480,,339.0,2048.0,1198.0,2023-07-17 00:15:02.137000+00:00,2023-07-17 23:55:02.554000+00:00,,,,,,,
291,480,,,2048.0,1172.0,2023-07-18 00:15:00.503000+00:00,2023-07-18 23:55:00.451000+00:00,,,,,,,
292,480,,,2048.0,1172.0,2023-07-18 00:15:01.180000+00:00,2023-07-18 23:55:01.131000+00:00,,,,,,,
293,480,,,2048.0,1172.0,2023-07-18 00:15:01.689000+00:00,2023-07-18 23:55:01.636000+00:00,,,,,,,
294,480,,,2048.0,1172.0,2023-07-18 00:15:02.120000+00:00,2023-07-18 23:55:02.197000+00:00,,,,,,,
295,480,455,6287.0,2048.0,1640.0,2023-07-19 00:15:00.551000+00:00,2023-07-19 23:55:00.673000+00:00,34.0,,,,,,
296,480,455,6287.0,2048.0,1640.0,2023-07-19 00:15:01.289000+00:00,2023-07-19 23:55:01.578000+00:00,34.0,,,,,,
297,480,455,6287.0,2048.0,1640.0,2023-07-19 00:15:01.860000+00:00,2023-07-19 23:55:02.146000+00:00,34.0,,,,,,
