ActivityHour,Id,Calories,TotalIntensity,AverageIntensity,StepTotal,hour,dayofyear,dayofweek,dayofmonth,isweekend
2016-03-19 22:00:00+00:00,2347167796,81,13,0.216667,237,22,79,5,19,True
2016-03-19 23:00:00+00:00,2347167796,57,0,0.0,0,23,79,5,19,True
2016-03-20 00:00:00+00:00,2347167796,57,0,0.0,0,0,80,6,20,True
2016-03-20 01:00:00+00:00,2347167796,61,3,0.05,24,1,80,6,20,True
2016-03-20 02:00:00+00:00,2347167796,58,1,0.016667,4,2,80,6,20,True
2016-03-20 03:00:00+00:00,2347167796,58,1,0.016667,8,3,80,6,20,True
2016-03-20 04:00:00+00:00,2347167796,57,0,0.0,0,4,80,6,20,True
2016-03-20 05:00:00+00:00,2347167796,56,0,0.0,0,5,80,6,20,True
2016-03-20 06:00:00+00:00,2347167796,58,1,0.016667,5,6,80,6,20,True
2016-03-20 07:00:00+00:00,2347167796,69,6,0.1,126,7,80,6,20,True
2016-03-20 08:00:00+00:00,2347167796,378,153,2.55,6114,8,80,6,20,True
2016-03-20 09:00:00+00:00,2347167796,95,19,0.316667,396,9,80,6,20,True
2016-03-20 10:00:00+00:00,2347167796,91,14,0.233333,273,10,80,6,20,True
2016-03-20 11:00:00+00:00,2347167796,130,26,0.433333,1168,11,80,6,20,True
2016-03-20 12:00:00+00:00,2347167796,69,6,0.1,112,12,80,6,20,True
2016-03-20 13:00:00+00:00,2347167796,115,28,0.466667,763,13,80,6,20,True
2016-03-20 14:00:00+00:00,2347167796,95,21,0.35,376,14,80,6,20,True
2016-03-20 15:00:00+00:00,2347167796,84,14,0.233333,256,15,80,6,20,True
2016-03-20 16:00:00+00:00,2347167796,110,26,0.433333,681,16,80,6,20,True
2016-03-20 17:00:00+00:00,2347167796,89,16,0.266667,405,17,80,6,20,True
2016-03-20 18:00:00+00:00,2347167796,101,20,0.333333,574,18,80,6,20,True
2016-03-20 19:00:00+00:00,2347167796,100,24,0.4,374,19,80,6,20,True
2016-03-20 20:00:00+00:00,2347167796,130,29,0.483333,1216,20,80,6,20,True
2016-03-20 21:00:00+00:00,2347167796,142,27,0.45,1378,21,80,6,20,True
2016-03-20 22:00:00+00:00,2347167796,57,0,0.0,0,22,80,6,20,True
2016-03-20 23:00:00+00:00,2347167796,57,0,0.0,0,23,80,6,20,True
2016-03-21 00:00:00+00:00,2347167796,57,0,0.0,0,0,81,0,21,False
2016-03-21 01:00:00+00:00,2347167796,62,4,0.066667,42,1,81,0,21,False
2016-03-21 02:00:00+00:00,2347167796,58,1,0.016667,6,2,81,0,21,False
2016-03-21 03:00:00+00:00,2347167796,56,0,0.0,0,3,81,0,21,False
2016-03-21 04:00:00+00:00,2347167796,57,0,0.0,0,4,81,0,21,False
2016-03-21 05:00:00+00:00,2347167796,57,0,0.0,0,5,81,0,21,False
2016-03-21 06:00:00+00:00,2347167796,88,8,0.133333,100,6,81,0,21,False
2016-03-21 07:00:00+00:00,2347167796,101,12,0.2,112,7,81,0,21,False
2016-03-21 08:00:00+00:00,2347167796,115,22,0.366667,980,8,81,0,21,False
2016-03-21 09:00:00+00:00,2347167796,68,5,0.083333,52,9,81,0,21,False
2016-03-21 10:00:00+00:00,2347167796,93,15,0.25,521,10,81,0,21,False
2016-03-21 11:00:00+00:00,2347167796,75,9,0.15,160,11,81,0,21,False
2016-03-21 12:00:00+00:00,2347167796,81,13,0.216667,220,12,81,0,21,False
2016-03-21 13:00:00+00:00,2347167796,148,47,0.783333,1481,13,81,0,21,False
2016-03-21 14:00:00+00:00,2347167796,76,10,0.166667,113,14,81,0,21,False
2016-03-21 15:00:00+00:00,2347167796,81,13,0.216667,230,15,81,0,21,False
2016-03-21 16:00:00+00:00,2347167796,74,10,0.166667,86,16,81,0,21,False
2016-03-21 17:00:00+00:00,2347167796,79,12,0.2,227,17,81,0,21,False
2016-03-21 18:00:00+00:00,2347167796,184,48,0.8,2317,18,81,0,21,False
2016-03-21 19:00:00+00:00,2347167796,115,31,0.516667,675,19,81,0,21,False
2016-03-21 20:00:00+00:00,2347167796,110,31,0.516667,463,20,81,0,21,False
2016-03-21 21:00:00+00:00,2347167796,113,30,0.5,549,21,81,0,21,False
2016-03-21 22:00:00+00:00,2347167796,143,40,0.666667,1726,22,81,0,21,False
2016-03-21 23:00:00+00:00,2347167796,57,0,0.0,0,23,81,0,21,False
2016-03-22 00:00:00+00:00,2347167796,57,0,0.0,0,0,82,1,22,False
2016-03-22 01:00:00+00:00,2347167796,58,1,0.016667,9,1,82,1,22,False
2016-03-22 02:00:00+00:00,2347167796,60,2,0.033333,14,2,82,1,22,False
2016-03-22 03:00:00+00:00,2347167796,57,0,0.0,0,3,82,1,22,False
2016-03-22 04:00:00+00:00,2347167796,57,0,0.0,0,4,82,1,22,False
2016-03-22 05:00:00+00:00,2347167796,57,0,0.0,0,5,82,1,22,False
2016-03-22 06:00:00+00:00,2347167796,61,3,0.05,20,6,82,1,22,False
2016-03-22 07:00:00+00:00,2347167796,149,45,0.75,1931,7,82,1,22,False
2016-03-22 08:00:00+00:00,2347167796,122,24,0.4,1142,8,82,1,22,False
2016-03-22 09:00:00+00:00,2347167796,82,10,0.166667,85,9,82,1,22,False
2016-03-22 10:00:00+00:00,2347167796,83,12,0.2,227,10,82,1,22,False
2016-03-22 11:00:00+00:00,2347167796,74,7,0.116667,49,11,82,1,22,False
2016-03-22 12:00:00+00:00,2347167796,101,20,0.333333,139,12,82,1,22,False
2016-03-22 13:00:00+00:00,2347167796,99,18,0.3,287,13,82,1,22,False
2016-03-22 14:00:00+00:00,2347167796,102,17,0.283333,30,14,82,1,22,False
2016-03-22 15:00:00+00:00,2347167796,85,11,0.183333,115,15,82,1,22,False
2016-03-22 16:00:00+00:00,2347167796,67,4,0.066667,31,16,82,1,22,False
2016-03-22 17:00:00+00:00,2347167796,88,18,0.3,340,17,82,1,22,False
2016-03-22 18:00:00+00:00,2347167796,183,61,1.016667,1875,18,82,1,22,False
2016-03-22 19:00:00+00:00,2347167796,75,8,0.133333,136,19,82,1,22,False
2016-03-22 20:00:00+00:00,2347167796,119,20,0.333333,748,20,82,1,22,False
2016-03-22 21:00:00+00:00,2347167796,200,62,1.033333,2824,21,82,1,22,False
2016-03-22 22:00:00+00:00,2347167796,66,6,0.1,70,22,82,1,22,False
2016-03-22 23:00:00+00:00,2347167796,57,0,0.0,0,23,82,1,22,False
2016-03-23 00:00:00+00:00,2347167796,57,0,0.0,0,0,83,2,23,False
2016-03-23 01:00:00+00:00,2347167796,61,3,0.05,22,1,83,2,23,False
2016-03-23 02:00:00+00:00,2347167796,57,0,0.0,0,2,83,2,23,False
2016-03-23 03:00:00+00:00,2347167796,57,0,0.0,0,3,83,2,23,False
2016-03-23 04:00:00+00:00,2347167796,57,0,0.0,0,4,83,2,23,False
2016-03-23 05:00:00+00:00,2347167796,57,0,0.0,0,5,83,2,23,False
2016-03-23 06:00:00+00:00,2347167796,68,6,0.1,65,6,83,2,23,False
2016-03-23 07:00:00+00:00,2347167796,189,58,0.966667,2164,7,83,2,23,False
2016-03-23 08:00:00+00:00,2347167796,132,26,0.433333,1117,8,83,2,23,False
2016-03-23 09:00:00+00:00,2347167796,77,9,0.15,182,9,83,2,23,False
2016-03-23 10:00:00+00:00,2347167796,84,13,0.216667,286,10,83,2,23,False
2016-03-23 11:00:00+00:00,2347167796,70,6,0.1,76,11,83,2,23,False
2016-03-23 12:00:00+00:00,2347167796,83,13,0.216667,316,12,83,2,23,False
2016-03-23 13:00:00+00:00,2347167796,83,14,0.233333,294,13,83,2,23,False
2016-03-23 14:00:00+00:00,2347167796,69,7,0.116667,44,14,83,2,23,False
2016-03-23 15:00:00+00:00,2347167796,70,8,0.133333,61,15,83,2,23,False
2016-03-23 16:00:00+00:00,2347167796,79,11,0.183333,215,16,83,2,23,False
2016-03-23 17:00:00+00:00,2347167796,90,16,0.266667,442,17,83,2,23,False
2016-03-23 18:00:00+00:00,2347167796,218,74,1.233333,3275,18,83,2,23,False
2016-03-23 19:00:00+00:00,2347167796,75,10,0.166667,142,19,83,2,23,False
2016-03-23 20:00:00+00:00,2347167796,102,13,0.216667,656,20,83,2,23,False
2016-03-23 21:00:00+00:00,2347167796,83,6,0.1,454,21,83,2,23,False
2016-03-23 22:00:00+00:00,2347167796,82,13,0.216667,258,22,83,2,23,False
2016-03-23 23:00:00+00:00,2347167796,60,2,0.033333,14,23,83,2,23,False
2016-03-24 00:00:00+00:00,2347167796,57,0,0.0,0,0,84,3,24,False
2016-03-24 01:00:00+00:00,2347167796,60,2,0.033333,17,1,84,3,24,False
2016-03-24 02:00:00+00:00,2347167796,59,1,0.016667,8,2,84,3,24,False
2016-03-24 03:00:00+00:00,2347167796,57,0,0.0,0,3,84,3,24,False
2016-03-24 04:00:00+00:00,2347167796,57,0,0.0,0,4,84,3,24,False
2016-03-24 05:00:00+00:00,2347167796,57,0,0.0,0,5,84,3,24,False
2016-03-24 06:00:00+00:00,2347167796,69,6,0.1,168,6,84,3,24,False
2016-03-24 07:00:00+00:00,2347167796,250,90,1.5,3475,7,84,3,24,False
2016-03-24 08:00:00+00:00,2347167796,150,39,0.65,1268,8,84,3,24,False
2016-03-24 09:00:00+00:00,2347167796,82,14,0.233333,146,9,84,3,24,False
2016-03-24 10:00:00+00:00,2347167796,67,4,0.066667,50,10,84,3,24,False
2016-03-24 11:00:00+00:00,2347167796,78,8,0.133333,109,11,84,3,24,False
2016-03-24 12:00:00+00:00,2347167796,86,15,0.25,352,12,84,3,24,False
2016-03-24 13:00:00+00:00,2347167796,82,14,0.233333,209,13,84,3,24,False
2016-03-24 14:00:00+00:00,2347167796,67,5,0.083333,42,14,84,3,24,False
2016-03-24 15:00:00+00:00,2347167796,70,7,0.116667,91,15,84,3,24,False
2016-03-24 16:00:00+00:00,2347167796,74,10,0.166667,102,16,84,3,24,False
2016-03-24 17:00:00+00:00,2347167796,77,13,0.216667,172,17,84,3,24,False
2016-03-24 18:00:00+00:00,2347167796,143,38,0.633333,1370,18,84,3,24,False
